,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed_limit,speed,day_of_week,day_of_month,month,hour_of_day,speed_over,percentage_over_limit
470,FALSE,Automobile,2015,GREY,WHITE,F,MD,25,40,Tues,12,Sep,14.91666667,15,60
471,FALSE,Automobile,1998,WHITE,WHITE,M,DC,25,40,Tues,12,Sep,15.01666667,15,60
472,FALSE,Automobile,2015,GREY,WHITE,F,MD,25,50,Tues,12,Sep,15.11666667,25,100
473,FALSE,Automobile,2003,GREY,OTHER,M,MD,25,42,Tues,12,Sep,15.28333333,17,68
474,FALSE,Automobile,2014,BLACK,WHITE,F,MD,25,43,Tues,12,Sep,15.31666667,18,72
475,FALSE,Automobile,2016,BLACK,WHITE,F,MD,25,43,Tues,12,Sep,15.48333333,18,72
476,FALSE,Automobile,2017,WHITE,WHITE,M,MD,50,72,Tues,12,Sep,16.56666667,22,44
477,FALSE,Automobile,2012,BLACK,WHITE,F,MD,30,53,Tues,12,Sep,17.06666667,23,76.66666667
478,FALSE,Automobile,2006,BLACK,WHITE,M,MD,35,44,Tues,12,Sep,8.083333333,9,25.71428571
479,FALSE,Automobile,2003,GREY,WHITE,M,MD,35,61,Tues,12,Sep,9.216666667,26,74.28571429
480,FALSE,Motorcycle,2015,WHITE,ASIAN,F,FL,50,68,Tues,12,Sep,19.46666667,18,36
481,FALSE,Automobile,2012,GREY,WHITE,M,MD,35,58,Tues,12,Sep,8.3,23,65.71428571
482,FALSE,Automobile,2002,GREY,WHITE,M,MD,35,44,Tues,12,Sep,8.783333333,9,25.71428571
483,FALSE,Automobile,2015,WHITE,WHITE,F,MD,35,44,Tues,12,Sep,9.416666667,9,25.71428571
484,FALSE,Automobile,2015,BLACK,WHITE,F,MD,35,59,Tues,12,Sep,9.883333333,24,68.57142857
485,FALSE,Automobile,2015,BLACK,WHITE,M,MD,30,47,Tues,12,Sep,13.4,17,56.66666667
486,FALSE,Automobile,2010,RED,WHITE,M,MD,30,47,Tues,12,Sep,13.7,17,56.66666667
487,FALSE,Automobile,2008,GREY,BLACK,M,MD,30,46,Tues,12,Sep,14.76666667,16,53.33333333
488,FALSE,Automobile,2014,BLACK,WHITE,F,MD,55,80,Tues,12,Sep,23.45,25,45.45454545
489,FALSE,Automobile,2004,GREY,WHITE,F,MD,55,80,Tues,12,Sep,23.86666667,25,45.45454545
490,FALSE,Automobile,2013,BLACK,WHITE,M,MD,45,71,Wed,13,Sep,1.116666667,26,57.77777778
491,FALSE,Automobile,2015,GREY,BLACK,F,DC,30,60,Wed,13,Sep,2.35,30,100
492,FALSE,Automobile,2003,GREEN,BLACK,M,MD,55,64,Wed,13,Sep,10.58333333,9,16.36363636
493,FALSE,Automobile,2018,BLUE,WHITE,M,MA,35,44,Wed,13,Sep,11.1,9,25.71428571
494,FALSE,Automobile,2016,WHITE,OTHER,M,MD,55,64,Wed,13,Sep,11.43333333,9,16.36363636
495,FALSE,Automobile,2015,BLACK,OTHER,F,MD,45,68,Wed,13,Sep,5.483333333,23,51.11111111
496,FALSE,Station Wagon,2005,BLUE,WHITE,F,MD,35,44,Wed,13,Sep,7.716666667,9,25.71428571
497,FALSE,Automobile,2016,WHITE,WHITE,F,MD,35,44,Wed,13,Sep,7.916666667,9,25.71428571
498,FALSE,Automobile,2007,RED,BLACK,F,MD,35,44,Wed,13,Sep,8.05,9,25.71428571
499,FALSE,Automobile,2014,GREY,BLACK,M,MD,35,44,Wed,13,Sep,8.266666667,9,25.71428571
