country,year,hourly_compensation
Greece,1990,6.690000057
"Hong Kong, China",1990,3.220000029
Ireland,1990,12.10999966
Israel,1990,7.690000057
Italy,1990,17.68000031
Japan,1990,12.59000015
"Korea, Rep.",1990,3.700000048
Luxembourg,1990,15.89999962
Mexico,1990,1.570000052
Netherlands,1990,17.97999954
New Zealand,1990,8.479999542
Norway,1990,21.76000023
Portugal,1990,3.609999895
Singapore,1990,3.779999971
Spain,1990,11.30000019
Sri Lanka,1990,0.349999994
Sweden,1990,20.75
Switzerland,1990,20.62999916
Taiwan,1990,3.910000086
United Kingdom,1990,12.46000004
United States,1990,14.81000042
Australia,1991,13.67000008
Austria,1991,18.04000092
Belgium,1991,18.39999962
Canada,1991,17.69000053
Denmark,1991,18.54999924
Finland,1991,20.72999954
France,1991,15.52000046
Greece,1991,6.849999905
"Hong Kong, China",1991,3.569999933
Ireland,1991,12.36999989
Israel,1991,7.900000095
Italy,1991,18.73999977
Japan,1991,14.51000023
"Korea, Rep.",1991,4.610000134
Luxembourg,1991,16.27000046
Mexico,1991,1.830000043
Netherlands,1991,18.05999947
New Zealand,1991,8.520000458
Norway,1991,21.95000076
Philippines,1991,0.670000017
Portugal,1991,4.050000191
Singapore,1991,4.309999943
Spain,1991,12.18999958
Sri Lanka,1991,0.400000006
Sweden,1991,22
Switzerland,1991,21.43000031
Taiwan,1991,4.340000153
United Kingdom,1991,13.42000008
United States,1991,15.52000046
Australia,1992,13.22999954
Austria,1992,20.23999977
Belgium,1992,20.5
Canada,1992,17.56999969
Denmark,1992,20.40999985
Finland,1992,19.15999985
France,1992,17.31999969
Greece,1992,7.659999847
"Hong Kong, China",1992,3.910000086
Ireland,1992,13.60000038
Israel,1992,8.119999886
Italy,1992,19.63999939
Japan,1992,16.12999916
"Korea, Rep.",1992,5.210000038
Luxembourg,1992,18.12999916
Mexico,1992,2.160000086
Netherlands,1992,20.01000023
New Zealand,1992,8.050000191
Norway,1992,23.47999954
Philippines,1992,0.779999971
Portugal,1992,4.929999828
Singapore,1992,4.909999847
Spain,1992,13.39000034
Sri Lanka,1992,0.400000006
Sweden,1992,24.40999985
Switzerland,1992,22.95000076
Taiwan,1992,5.119999886
United Kingdom,1992,13.97999954
United States,1992,15.94999981
Australia,1993,12.61999989
Austria,1993,20.11000061
Belgium,1993,20.14999962
Canada,1993,16.96999931
Denmark,1993,19.61000061
Finland,1993,15.81000042
France,1993,16.52000046
Germany,1993,23.88999939
Greece,1993,7.059999943
"Hong Kong, China",1993,4.28000021
Ireland,1993,12.38000011
Israel,1993,7.869999886
Italy,1993,15.97999954
Japan,1993,18.86000061
"Korea, Rep.",1993,5.710000038
Luxembourg,1993,18.04000092
Mexico,1993,2.359999895
Netherlands,1993,19.79000092
New Zealand,1993,8.050000191
Norway,1993,20.59000015
Philippines,1993,0.75
Portugal,1993,4.300000191
Singapore,1993,5.210000038
Spain,1993,11.48999977
Sri Lanka,1993,0.419999987
Sweden,1993,17.46999931
Switzerland,1993,22.36000061
Taiwan,1993,5.159999847
United Kingdom,1993,12.27000046
United States,1993,16.37000084
Australia,1994,14.13000011
Austria,1994,21.48999977
Belgium,1994,21.93000031
Canada,1994,16.29000092
Denmark,1994,20.93000031
Finland,1994,18.15999985
France,1994,17.10000038
Germany,1994,25.32999992
Greece,1994,7.590000153
"Hong Kong, China",1994,4.599999905
Hungary,1994,2.700000048
Ireland,1994,12.89999962
Israel,1994,8.199999809
Italy,1994,16.09000015
Japan,1994,20.97999954
"Korea, Rep.",1994,6.340000153
Luxembourg,1994,19.87999916
Mexico,1994,2.74000001
Netherlands,1994,20.84000015
New Zealand,1994,9.090000153
Norway,1994,21.39999962
Philippines,1994,0.889999986
Portugal,1994,4.400000095
Singapore,1994,6.230000019
Spain,1994,11.39000034
Sri Lanka,1994,0.449999988
Sweden,1994,18.57999992
Switzerland,1994,24.62000084
Taiwan,1994,5.510000229
